,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,ConvNeXtV2_Nano,PyramidViT_V2_B2,MobileNetV3,Swin_T,ResNet18,ResNet50,ResNeXt50,Res2Net50,ViT_B_32
DeiT_S,1.0000007152557373,0.6840658187866211,0.6900755167007446,0.6673608422279358,0.41683873534202576,0.6013692617416382,0.6455714106559753,0.7154436111450195,0.705328106880188,0.6952810287475586,0.6953999996185303,0.6217843890190125,0.672576904296875,0.5346166491508484
DeiT_T,0.6840658187866211,1.0000007152557373,0.6704299449920654,0.6395503878593445,0.4112624228000641,0.5898863077163696,0.6102651953697205,0.699184775352478,0.6805421710014343,0.690424919128418,0.6745694875717163,0.5871142745018005,0.6464470028877258,0.5255273580551147
DenseNet121,0.6900755167007446,0.6704299449920654,1.0000003576278687,0.861845076084137,0.5225161910057068,0.6795583963394165,0.8600893616676331,0.8594959378242493,0.8498833775520325,0.8897709846496582,0.8919156193733215,0.7844140529632568,0.9358493089675903,0.6206293106079102
EfficientNet_B3,0.6673608422279358,0.6395503878593445,0.861845076084137,1.0000005960464478,0.4959585964679718,0.6508081555366516,0.773368239402771,0.831615686416626,0.8272067308425903,0.8633551597595215,0.8776851892471313,0.8257749676704407,0.8811317682266235,0.5993387699127197
EfficientNet_B4,0.41683873534202576,0.4112624228000641,0.5225161910057068,0.4959585964679718,1.000001072883606,0.42655545473098755,0.4665083885192871,0.5286301374435425,0.487680584192276,0.5165141224861145,0.5112324953079224,0.4375746548175812,0.5102379322052002,0.3608473539352417
ConvNeXtV2_Nano,0.6013692617416382,0.5898863077163696,0.6795583963394165,0.6508081555366516,0.42655545473098755,1.0000009536743164,0.60373854637146,0.7337191700935364,0.6757251024246216,0.719032347202301,0.6958091259002686,0.6248515844345093,0.6405022740364075,0.5119644403457642
PyramidViT_V2_B2,0.6455714106559753,0.6102651953697205,0.8600893616676331,0.773368239402771,0.4665083885192871,0.60373854637146,1.000000238418579,0.7729930877685547,0.8032954931259155,0.7785184979438782,0.7859432101249695,0.6909412741661072,0.8452842831611633,0.5770984292030334
MobileNetV3,0.7154436111450195,0.699184775352478,0.8594959378242493,0.831615686416626,0.5286301374435425,0.7337191700935364,0.7729930877685547,1.0000004768371582,0.8338645100593567,0.86831134557724,0.86191725730896,0.7607371807098389,0.8374313712120056,0.630453884601593
Swin_T,0.705328106880188,0.6805421710014343,0.8498833775520325,0.8272067308425903,0.487680584192276,0.6757251024246216,0.8032954931259155,0.8338645100593567,1.0000007152557373,0.8648467659950256,0.8850371241569519,0.7803476452827454,0.819378674030304,0.6096094846725464
ResNet18,0.6952810287475586,0.690424919128418,0.8897709846496582,0.8633551597595215,0.5165141224861145,0.719032347202301,0.7785184979438782,0.86831134557724,0.8648467659950256,1.0000009536743164,0.9125436544418335,0.7996340394020081,0.8603016138076782,0.6181145310401917
ResNet50,0.6953999996185303,0.6745694875717163,0.8919156193733215,0.8776851892471313,0.5112324953079224,0.6958091259002686,0.7859432101249695,0.86191725730896,0.8850371241569519,0.9125436544418335,1.0000009536743164,0.8502066135406494,0.8753352761268616,0.6040948629379272
ResNeXt50,0.6217843890190125,0.5871142745018005,0.7844140529632568,0.8257749676704407,0.4375746548175812,0.6248515844345093,0.6909412741661072,0.7607371807098389,0.7803476452827454,0.7996340394020081,0.8502066135406494,0.9882823824882507,0.793480634689331,0.5376381874084473
Res2Net50,0.672576904296875,0.6464470028877258,0.9358493089675903,0.8811317682266235,0.5102379322052002,0.6405022740364075,0.8452842831611633,0.8374313712120056,0.819378674030304,0.8603016138076782,0.8753352761268616,0.793480634689331,1.000000238418579,0.6148491501808167
ViT_B_32,0.5346166491508484,0.5255273580551147,0.6206293106079102,0.5993387699127197,0.3608473539352417,0.5119644403457642,0.5770984292030334,0.630453884601593,0.6096094846725464,0.6181145310401917,0.6040948629379272,0.5376381874084473,0.6148491501808167,0.9687504768371582
