,ResNet18,ResNet50,ViT_B_32,Swin_T,DeiT_S,EfficientNet_B3
ResNet18,1,0.07291844487190247,0.00028719170950353146,0.01692846789956093,0.0014093145728111267,0.09149443358182907
ResNet50,0.07291844487190247,1,6.069714686418592e-07,0.043237969279289246,0.0022758205886930227,0.07925167679786682
ViT_B_32,0.00028719170950353146,6.069714686418592e-07,1,4.025665475637652e-06,0.0014463468687608838,0.00011843751417472959
Swin_T,0.01692846789956093,0.043237969279289246,4.025665475637652e-06,1,0.0018196061719208956,0.002092923503369093
DeiT_S,0.0014093145728111267,0.0022758205886930227,0.0014463468687608838,0.0018196061719208956,1,0.00018476290279068053
EfficientNet_B3,0.09149443358182907,0.07925167679786682,0.00011843751417472959,0.002092923503369093,0.00018476290279068053,1
