,ResNet18,ResNet50,ViT_B_32,Swin_T
ResNet18,1,0.07184423506259918,0.0001964602415682748,0.020786326378583908
ResNet50,0.07184423506259918,1,7.028183608781546e-05,0.024605611339211464
ViT_B_32,0.0001964602415682748,7.028183608781546e-05,1,3.628771082730964e-06
Swin_T,0.020786326378583908,0.024605611339211464,3.628771082730964e-06,1
