,ResNet18,ResNet50,ViT_B_32,Swin_T,DeiT_S,EfficientNet_B3
ResNet18,0.9999975562095642,0.8769811987876892,0.8707332015037537,0.8791719675064087,0.8597933053970337,0.8834950923919678
ResNet50,0.8769811987876892,1.000005841255188,0.8827260732650757,0.8990874290466309,0.8857377767562866,0.8882409334182739
ViT_B_32,0.8707332015037537,0.8827260732650757,0.9999983906745911,0.8993732333183289,0.8994145393371582,0.8873468637466431
Swin_T,0.8791719675064087,0.8990874290466309,0.8993732333183289,1.0000061988830566,0.9114558696746826,0.900765597820282
DeiT_S,0.8597933053970337,0.8857377767562866,0.8994145393371582,0.9114558696746826,0.9999958276748657,0.8987250924110413
EfficientNet_B3,0.8834950923919678,0.8882409334182739,0.8873468637466431,0.900765597820282,0.8987250924110413,1.0000001192092896
