,DeiT_S,DeiT_T,DenseNet121,EfficientNet_B3,EfficientNet_B4,ConvNeXtV2_Nano,PyramidViT_V2_B2,MobileNetV3,Swin_T,ResNet18,ResNet50,ResNeXt50,Res2Net50,ViT_B_32
DeiT_S,1.0,0.0380859375,2.775431130430661e-05,0.0007187816081568599,0.00038807536475360394,0.011024300009012222,3.419194035814144e-05,0.007276952266693115,0.0043606506660580635,0.00554987508803606,0.0033057043328881264,0.0020671726670116186,3.1771662179380655e-05,0.005257023498415947
DeiT_T,0.0380859375,1.0,7.574393293907633e-06,0.0004273414961062372,0.0005392603343352675,0.01276322454214096,6.639249022555305e-06,0.006557367742061615,0.0025801449082791805,0.005388260819017887,0.00262891105376184,0.0019327031914144754,1.4143369071462075e-06,0.003670362289994955
DenseNet121,2.775431130430661e-05,7.574393293907633e-06,1.0,0.0025561999063938856,1.1550925592018757e-05,3.839413693640381e-05,0.0011377998162060976,0.0009545035427436233,0.002276074606925249,0.0022955427411943674,0.002433211775496602,0.000425637059379369,0.03244966268539429,8.201538730645552e-05
EfficientNet_B3,0.0007187816081568599,0.0004273414961062372,0.0025561999063938856,1.0,0.00010089497664012015,0.0037977113388478756,0.00028126873075962067,0.01401387620717287,0.012368274852633476,0.03190339729189873,0.04193330183625221,0.04961508512496948,0.0032885544933378696,0.0013844780623912811
EfficientNet_B4,0.00038807536475360394,0.0005392603343352675,1.1550925592018757e-05,0.00010089497664012015,1.0,0.0011966689489781857,2.391758471276262e-06,0.000707049504853785,0.00011965820885961875,0.0005792832816950977,0.0004011188866570592,0.0002378882054472342,7.001010260410112e-08,0.0009828767506405711
ConvNeXtV2_Nano,0.011024300009012222,0.01276322454214096,3.839413693640381e-05,0.0037977113388478756,0.0011966689489781857,1.0,0.00012424668238963932,0.033921610563993454,0.01067622471600771,0.02965543419122696,0.01286008208990097,0.01036996953189373,7.722009286226239e-06,0.01564197987318039
PyramidViT_V2_B2,3.419194035814144e-05,6.639249022555305e-06,0.0011377998162060976,0.00028126873075962067,2.391758471276262e-06,0.00012424668238963932,1.0,0.0003738592495210469,0.0009444530005566776,0.00047016722965054214,0.0004857948806602508,0.00011080051626777276,0.0005479529500007629,4.071243165526539e-05
MobileNetV3,0.007276952266693115,0.006557367742061615,0.0009545035427436233,0.01401387620717287,0.000707049504853785,0.033921610563993454,0.0003738592495210469,1.0,0.027051031589508057,0.07331950962543488,0.04436185210943222,0.019952477887272835,0.0003570466651581228,0.009662885218858719
Swin_T,0.0043606506660580635,0.0025801449082791805,0.002276074606925249,0.012368274852633476,0.00011965820885961875,0.01067622471600771,0.0009444530005566776,0.027051031589508057,1.0,0.04080136865377426,0.04880412667989731,0.02561025321483612,0.00044195668306201696,0.008222454227507114
ResNet18,0.00554987508803606,0.005388260819017887,0.0022955427411943674,0.03190339729189873,0.0005792832816950977,0.02965543419122696,0.00047016722965054214,0.07331950962543488,0.04080136865377426,1.0,0.13043160736560822,0.049051374197006226,0.0012755260104313493,0.007355665788054466
ResNet50,0.0033057043328881264,0.00262891105376184,0.002433211775496602,0.04193330183625221,0.0004011188866570592,0.01286008208990097,0.0004857948806602508,0.04436185210943222,0.04880412667989731,0.13043160736560822,1.0,0.08817604929208755,0.0013593671610578895,0.004009113181382418
ResNeXt50,0.0020671726670116186,0.0019327031914144754,0.000425637059379369,0.04961508512496948,0.0002378882054472342,0.01036996953189373,0.00011080051626777276,0.019952477887272835,0.02561025321483612,0.049051374197006226,0.08817604929208755,1.0,0.00048529947525821626,0.0031889250967651606
Res2Net50,3.1771662179380655e-05,1.4143369071462075e-06,0.03244966268539429,0.0032885544933378696,7.001010260410112e-08,7.722009286226239e-06,0.0005479529500007629,0.0003570466651581228,0.00044195668306201696,0.0012755260104313493,0.0013593671610578895,0.00048529947525821626,1.0,4.528987119556405e-06
ViT_B_32,0.005257023498415947,0.003670362289994955,8.201538730645552e-05,0.0013844780623912811,0.0009828767506405711,0.01564197987318039,4.071243165526539e-05,0.009662885218858719,0.008222454227507114,0.007355665788054466,0.004009113181382418,0.0031889250967651606,4.528987119556405e-06,1.0
